player_jersey,player_name,position,goals,assists,points,penalty_minutes,plus_minus,shots_on_goal,blocks,giveaways,takeaways,faceoffs_won_lost,faceoffs_win_pct,powerplay_goals,shorthanded_goals,shots,shots_blocked,faceoffs_won,faceoffs_lost,team,skaters_href,player_id,game_id,minutes_played,shots_against,goals_against,saves,save_percent,goalies_href,season
42,Meghara McManus,F,0,1,1,0,0,1,0,0,1,6 - 5,0.546,0,0,2,1,6,5,Boston Pride,stats#/player/627750,627750,420364,,,,,,,2022
2,Meghan Rickard,F,0,0,0,0,0,3,0,0,0,0 - 0,0,0,0,3,0,0,0,Boston Pride,stats#/player/1027138,1027138,420364,,,,,,,2022
4,Lauren Kelly,D,0,0,0,0,0,0,0,0,2,0 - 0,0,0,0,0,0,0,0,Boston Pride,stats#/player/431612,431612,420364,,,,,,,2022
6,Kali Flanagan,D,0,0,0,0,0,1,0,3,1,0 - 0,0,0,0,1,0,0,0,Boston Pride,stats#/player/1034117,1034117,420364,,,,,,,2022
8,Amanda Boulier,D,0,0,0,0,0,5,2,0,0,0 - 0,0,0,0,5,0,0,0,Boston Pride,stats#/player/431662,431662,420364,,,,,,,2022
9,Tori Sullivan,F,0,0,0,0,0,0,0,0,1,0 - 0,0,0,0,0,0,0,0,Boston Pride,stats#/player/431622,431622,420364,,,,,,,2022
12,Jenna Rheault,D,0,0,0,0,0,0,0,1,1,0 - 0,0,0,0,1,1,0,0,Boston Pride,stats#/player/431619,431619,420364,,,,,,,2022
18,Taylor Wenczkowski,F,0,0,0,0,0,4,0,1,3,17 - 15,0.531,0,0,4,0,17,15,Boston Pride,stats#/player/627747,627747,420364,,,,,,,2022
19,Sammy Davis,F,0,0,0,0,0,2,0,4,0,0 - 1,0,0,0,4,2,0,1,Boston Pride,stats#/player/627751,627751,420364,,,,,,,2022
20,Paige Capistran,D,0,0,0,0,0,0,0,0,2,0 - 0,0,0,0,0,0,0,0,Boston Pride,stats#/player/627748,627748,420364,,,,,,,2022
21,Christina Putigna,F,0,0,0,2,0,5,0,2,0,0 - 0,0,0,0,6,1,0,0,Boston Pride,stats#/player/431616,431616,420364,,,,,,,2022
23,Kateylnn Russ,F,0,0,0,0,0,2,0,0,0,0 - 0,0,0,0,2,0,0,0,Boston Pride,stats#/player/856786,856786,420364,,,,,,,2022
47,Mallory Souliotis,D,0,0,0,2,0,0,2,2,1,0 - 0,0,0,0,0,0,0,0,Boston Pride,stats#/player/431621,431621,420364,,,,,,,2022
4,Emily Janiga,F,1,0,1,0,0,3,0,1,2,14 - 16,0.467,0,0,4,1,14,16,Metropolitan Riveters,stats#/player/644549,644549,420364,,,,,,,2022
14,Madison Packer,F,0,1,1,0,0,4,0,2,2,0 - 0,0,0,0,4,0,0,0,Metropolitan Riveters,stats#/player/966106,966106,420364,,,,,,,2022
18,Rebecca Russo,F,0,1,1,0,1,6,0,0,2,0 - 0,0,0,0,9,3,0,0,Metropolitan Riveters,stats#/player/644558,644558,420364,,,,,,,2022
3,Theresa Knutson,F,0,0,0,0,0,6,1,1,1,0 - 0,0,0,0,6,0,0,0,Metropolitan Riveters,stats#/player/644548,644548,420364,,,,,,,2022
5,Leila Kilduff,D,0,0,0,2,0,0,0,2,1,0 - 0,0,0,0,0,0,0,0,Metropolitan Riveters,stats#/player/456621,456621,420364,,,,,,,2022
6,Nora Maclaine,F,0,0,0,0,0,0,1,0,1,7 - 7,0.5,0,0,0,0,7,7,Metropolitan Riveters,stats#/player/828793,828793,420364,,,,,,,2022
7,Rachael Ade,D,0,0,0,0,0,0,0,2,0,0 - 0,0,0,0,1,1,0,0,Metropolitan Riveters,stats#/player/728501,728501,420364,,,,,,,2022
8,Kelly Babstock,F,0,0,0,0,0,3,1,3,2,0 - 0,0,0,0,3,0,0,0,Metropolitan Riveters,stats#/player/699761,699761,420364,,,,,,,2022
10,Kendall Cornine,F,0,0,0,4,0,5,0,2,0,13 - 10,0.565,0,0,6,1,13,10,Metropolitan Riveters,stats#/player/431650,431650,420364,,,,,,,2022
16,Brooke Avery,F,0,0,0,2,0,0,0,1,0,0 - 0,0,0,0,0,0,0,0,Metropolitan Riveters,stats#/player/431648,431648,420364,,,,,,,2022
19,Romana Kosecka,F,0,0,0,0,0,0,0,0,0,0 - 0,0,0,0,0,0,0,0,Metropolitan Riveters,stats#/player/980281,980281,420364,,,,,,,2022
20,Mallory Rushton,F,0,0,0,0,0,0,1,0,1,0 - 0,0,0,0,0,0,0,0,Metropolitan Riveters,stats#/player/431656,431656,420364,,,,,,,2022
21,Haley Frade,F,0,0,0,0,0,4,0,0,3,0 - 0,0,0,0,4,0,0,0,Metropolitan Riveters,stats#/player/529481,529481,420364,,,,,,,2022
24,Kristen Barbara,D,0,0,0,0,0,2,2,0,0,0 - 0,0,0,0,3,1,0,0,Metropolitan Riveters,stats#/player/542417,542417,420364,,,,,,,2022
25,Rose Alleva,D,0,0,0,0,0,0,0,1,0,0 - 0,0,0,0,0,0,0,0,Metropolitan Riveters,stats#/player/456613,456613,420364,,,,,,,2022
55,Lenka Curmova,D,0,0,0,0,0,1,0,2,0,0 - 0,0,0,0,1,0,0,0,Metropolitan Riveters,stats#/player/980280,980280,420364,,,,,,,2022
77,Colleen Murphy,D,0,0,0,0,0,1,0,0,0,0 - 0,0,0,0,1,0,0,0,Metropolitan Riveters,stats#/player/967617,967617,420364,,,,,,,2022
35,Lovisa Selander,G,0,0,,0,,,,,,,,,,,,,,Boston Pride,,431620,420364,00:00,0,0,0,0,stats#/player/431620,2022
88,Katie Burt,G,0,0,,0,,,,,,,,,,,,,,Boston Pride,,455202,420364,60:00,35,1,34,0.971,stats#/player/455202,2022
