player_jersey,player_name,position,goals,assists,points,penalty_minutes,plus_minus,shots_on_goal,blocks,giveaways,takeaways,faceoffs_won_lost,faceoffs_win_pct,powerplay_goals,shorthanded_goals,shots,shots_blocked,faceoffs_won,faceoffs_lost,skaters_href,player_id,game_id,minutes_played,shots_against,goals_against,saves,save_percent,goalies_href
18,Meghan Fardelmann,F,0,0,0,2,0,0,0,0,0,2 - 1,0.667,0,0,1,0,2,1,stats#/player/57636,57636,40884,,,,,,
19,Margot Scharfe,F,0,0,0,0,0,0,0,0,0,0 - 0,0,0,0,0,0,0,0,stats#/player/57717,57717,40884,,,,,,
21,Gabie Figueroa,D,0,0,0,0,0,0,0,0,0,0 - 0,0,0,0,4,0,0,0,stats#/player/57719,57719,40884,,,,,,
24,Celeste Brown,F,0,0,0,2,0,0,0,0,0,3 - 8,0.273,0,0,3,0,3,8,stats#/player/57721,57721,40884,,,,,,
26,Kiira Dosdall-Arena,D,0,0,0,4,0,0,0,0,0,0 - 0,0,0,0,2,0,0,0,stats#/player/1066549,1066549,40884,,,,,,
28,Beth Hanrahan,F,0,0,0,0,0,0,0,0,0,0 - 0,0,0,0,7,0,0,0,stats#/player/57723,57723,40884,,,,,,
1,Kelsie Fralick,G,0,0,,0,,,,,,,,,,,,,,,58114,40884,08:28,3,0,3,1,stats#/player/58114
29,Brittany Ott,G,0,0,,0,,,,,,,,,,,,,,,58131,40884,51:32,26,1,25,0.962,stats#/player/58131
30,Lauren Slebodnick,G,0,0,,0,,,,,,,,,,,,,,,58132,40884,00:00,0,0,0,0,stats#/player/58132
30,Jenny Scrivens,G,0,0,,0,,,,,,,,,,,,,,,57724,40884,32:59,20,5,15,0.75,stats#/player/57724
33,Nana Fujimoto,G,0,0,,0,,,,,,,,,,,,,,,58266,40884,27:01,19,3,16,0.842,stats#/player/58266
19,Brittany Dougherty,F,0,3,3,0,0,0,0,0,0,0 - 0,0,0,0,1,0,0,0,stats#/player/57742,57742,40881,,,,,,
22,Danielle Ward,F,2,0,2,0,0,0,0,0,0,7 - 6,0.539,0,0,3,0,7,6,stats#/player/57743,57743,40881,,,,,,
27,Shiann Darkangelo,F,1,1,2,0,0,0,0,0,0,3 - 2,0.6,0,0,5,0,3,2,stats#/player/542419,542419,40881,,,,,,
61,Kelli Stack,F,1,1,2,2,0,0,0,0,0,22 - 3,0.88,0,0,6,0,22,3,stats#/player/57760,57760,40881,,,,,,
8,Kelly Babstock,F,0,1,1,0,0,0,0,0,0,1 - 1,0.5,0,0,3,0,1,1,stats#/player/699761,699761,40881,,,,,,
13,Kaleigh Fratkin,D,0,1,1,4,0,0,0,0,0,0 - 0,0,0,0,3,0,0,0,stats#/player/57735,57735,40881,,,,,,
17,Yekaterina Smolentseva,F,0,1,1,0,0,0,0,0,0,0 - 0,0,0,0,6,0,0,0,stats#/player/57737,57737,40881,,,,,,
5,Kate Buesser,F,0,0,0,0,0,0,0,0,0,6 - 10,0.375,0,0,3,0,6,10,stats#/player/64987,64987,40881,,,,,,
6,Shannon Turner,D,0,0,0,0,0,0,0,0,0,0 - 1,0,0,0,2,0,0,1,stats#/player/967608,967608,40881,,,,,,
26,Jordan Brickner,D,0,0,0,0,0,0,0,0,0,0 - 0,0,0,0,1,0,0,0,stats#/player/57751,57751,40881,,,,,,
28,Sam Faber,F,0,0,0,2,0,0,0,0,0,0 - 0,0,0,0,1,0,0,0,stats#/player/57753,57753,40881,,,,,,
44,Tara Tomimoto,D,0,0,0,2,0,0,0,0,0,0 - 0,0,0,0,0,0,0,0,stats#/player/57728,57728,40881,,,,,,
56,Jessica Koizumi,F,0,0,0,0,0,0,0,0,0,0 - 0,0,0,0,0,0,0,0,stats#/player/57757,57757,40881,,,,,,
