game_id,link,game_type_abbreviation,season_full,game_date,status_abstract_game_state,status_coded_game_state,status_detailed_state,status_status_code,status_start_time_tbd,away_score,away_team_id,away_team_name,away_team_link,home_score,home_team_id,home_team_name,home_team_link,venue_name,venue_link,venue_id,content_link,game_type
2016021026,/api/v1/game/2016021026/feed/live,R,20162017,2017-03-14T23:00:00Z,Final,7,Final,7,FALSE,3,2,New York Islanders,/api/v1/teams/2,2,12,Carolina Hurricanes,/api/v1/teams/12,PNC Arena,/api/v1/venues/5066,5066,/api/v1/game/2016021026/content,REG
2016021027,/api/v1/game/2016021027/feed/live,R,20162017,2017-03-14T23:30:00Z,Final,7,Final,7,FALSE,4,16,Chicago Blackhawks,/api/v1/teams/16,2,8,Montréal Canadiens,/api/v1/teams/8,Centre Bell,/api/v1/venues/null,,/api/v1/game/2016021027/content,REG
2016021028,/api/v1/game/2016021028/feed/live,R,20162017,2017-03-14T23:30:00Z,Final,7,Final,7,FALSE,2,14,Tampa Bay Lightning,/api/v1/teams/14,1,9,Ottawa Senators,/api/v1/teams/9,Canadian Tire Centre,/api/v1/venues/5031,5031,/api/v1/game/2016021028/content,REG
2016021029,/api/v1/game/2016021029/feed/live,R,20162017,2017-03-14T23:30:00Z,Final,7,Final,7,FALSE,2,10,Toronto Maple Leafs,/api/v1/teams/10,7,13,Florida Panthers,/api/v1/teams/13,BB&T Center,/api/v1/venues/null,,/api/v1/game/2016021029/content,REG
2016021030,/api/v1/game/2016021030/feed/live,R,20162017,2017-03-15T01:00:00Z,Final,7,Final,7,FALSE,1,25,Dallas Stars,/api/v1/teams/25,7,22,Edmonton Oilers,/api/v1/teams/22,Rogers Place,/api/v1/venues/5100,5100,/api/v1/game/2016021030/content,REG
2016021031,/api/v1/game/2016021031/feed/live,R,20162017,2017-03-15T02:30:00Z,Final,7,Final,7,FALSE,3,53,Arizona Coyotes,/api/v1/teams/53,2,26,Los Angeles Kings,/api/v1/teams/26,STAPLES Center,/api/v1/venues/5081,5081,/api/v1/game/2016021031/content,REG
2016021032,/api/v1/game/2016021032/feed/live,R,20162017,2017-03-15T02:30:00Z,Final,7,Final,7,FALSE,1,7,Buffalo Sabres,/api/v1/teams/7,4,28,San Jose Sharks,/api/v1/teams/28,SAP Center at San Jose,/api/v1/venues/null,,/api/v1/game/2016021032/content,REG
2016021033,/api/v1/game/2016021033/feed/live,R,20162017,2017-03-15T23:30:00Z,Final,7,Final,7,FALSE,0,5,Pittsburgh Penguins,/api/v1/teams/5,4,4,Philadelphia Flyers,/api/v1/teams/4,Wells Fargo Center,/api/v1/venues/5096,5096,/api/v1/game/2016021033/content,REG
2016021034,/api/v1/game/2016021034/feed/live,R,20162017,2017-03-16T01:00:00Z,Final,7,Final,7,FALSE,5,6,Boston Bruins,/api/v1/teams/6,2,20,Calgary Flames,/api/v1/teams/20,Scotiabank Saddledome,/api/v1/venues/5075,5075,/api/v1/game/2016021034/content,REG
2016021035,/api/v1/game/2016021035/feed/live,R,20162017,2017-03-16T01:30:00Z,Final,7,Final,7,FALSE,1,17,Detroit Red Wings,/api/v1/teams/17,3,21,Colorado Avalanche,/api/v1/teams/21,Pepsi Center,/api/v1/venues/null,,/api/v1/game/2016021035/content,REG
2016021036,/api/v1/game/2016021036/feed/live,R,20162017,2017-03-16T02:00:00Z,Final,7,Final,7,FALSE,1,19,St. Louis Blues,/api/v1/teams/19,2,24,Anaheim Ducks,/api/v1/teams/24,Honda Center,/api/v1/venues/5046,5046,/api/v1/game/2016021036/content,REG
2016021037,/api/v1/game/2016021037/feed/live,R,20162017,2017-03-16T23:00:00Z,Final,7,Final,7,FALSE,2,4,Philadelphia Flyers,/api/v1/teams/4,6,1,New Jersey Devils,/api/v1/teams/1,Prudential Center,/api/v1/venues/null,,/api/v1/game/2016021037/content,REG
2016021038,/api/v1/game/2016021038/feed/live,R,20162017,2017-03-16T23:00:00Z,Final,7,Final,7,FALSE,4,52,Winnipeg Jets,/api/v1/teams/52,2,2,New York Islanders,/api/v1/teams/2,Barclays Center,/api/v1/venues/5026,5026,/api/v1/game/2016021038/content,REG
2016021039,/api/v1/game/2016021039/feed/live,R,20162017,2017-03-16T23:00:00Z,Final,7,Final,7,FALSE,2,18,Nashville Predators,/api/v1/teams/18,1,15,Washington Capitals,/api/v1/teams/15,Verizon Center,/api/v1/venues/null,,/api/v1/game/2016021039/content,REG
2016021040,/api/v1/game/2016021040/feed/live,R,20162017,2017-03-16T23:00:00Z,Final,7,Final,7,FALSE,1,30,Minnesota Wild,/api/v1/teams/30,3,12,Carolina Hurricanes,/api/v1/teams/12,PNC Arena,/api/v1/venues/5066,5066,/api/v1/game/2016021040/content,REG
2016021041,/api/v1/game/2016021041/feed/live,R,20162017,2017-03-16T23:00:00Z,Final,7,Final,7,FALSE,1,13,Florida Panthers,/api/v1/teams/13,2,29,Columbus Blue Jackets,/api/v1/teams/29,Nationwide Arena,/api/v1/venues/5059,5059,/api/v1/game/2016021041/content,REG
2016021042,/api/v1/game/2016021042/feed/live,R,20162017,2017-03-16T23:30:00Z,Final,7,Final,7,FALSE,2,16,Chicago Blackhawks,/api/v1/teams/16,1,9,Ottawa Senators,/api/v1/teams/9,Canadian Tire Centre,/api/v1/venues/5031,5031,/api/v1/game/2016021042/content,REG
2016021043,/api/v1/game/2016021043/feed/live,R,20162017,2017-03-16T23:30:00Z,Final,7,Final,7,FALSE,5,10,Toronto Maple Leafs,/api/v1/teams/10,0,14,Tampa Bay Lightning,/api/v1/teams/14,Amalie Arena,/api/v1/venues/5017,5017,/api/v1/game/2016021043/content,REG
2016021044,/api/v1/game/2016021044/feed/live,R,20162017,2017-03-17T01:00:00Z,Final,7,Final,7,FALSE,4,6,Boston Bruins,/api/v1/teams/6,7,22,Edmonton Oilers,/api/v1/teams/22,Rogers Place,/api/v1/venues/5100,5100,/api/v1/game/2016021044/content,REG
2016021045,/api/v1/game/2016021045/feed/live,R,20162017,2017-03-17T02:00:00Z,Final,7,Final,7,FALSE,4,25,Dallas Stars,/api/v1/teams/25,2,23,Vancouver Canucks,/api/v1/teams/23,Rogers Arena,/api/v1/venues/5073,5073,/api/v1/game/2016021045/content,REG
2016021046,/api/v1/game/2016021046/feed/live,R,20162017,2017-03-17T02:00:00Z,Final,7,Final,7,FALSE,5,17,Detroit Red Wings,/api/v1/teams/17,4,53,Arizona Coyotes,/api/v1/teams/53,Gila River Arena,/api/v1/venues/5043,5043,/api/v1/game/2016021046/content,REG
2016021047,/api/v1/game/2016021047/feed/live,R,20162017,2017-03-17T02:30:00Z,Final,7,Final,7,FALSE,0,7,Buffalo Sabres,/api/v1/teams/7,2,26,Los Angeles Kings,/api/v1/teams/26,STAPLES Center,/api/v1/venues/5081,5081,/api/v1/game/2016021047/content,REG
2016021048,/api/v1/game/2016021048/feed/live,R,20162017,2017-03-17T02:30:00Z,Final,7,Final,7,FALSE,4,19,St. Louis Blues,/api/v1/teams/19,1,28,San Jose Sharks,/api/v1/teams/28,SAP Center at San Jose,/api/v1/venues/null,,/api/v1/game/2016021048/content,REG
2016021049,/api/v1/game/2016021049/feed/live,R,20162017,2017-03-17T23:00:00Z,Final,7,Final,7,FALSE,4,13,Florida Panthers,/api/v1/teams/13,3,3,New York Rangers,/api/v1/teams/3,Madison Square Garden,/api/v1/venues/5054,5054,/api/v1/game/2016021049/content,REG
2016021050,/api/v1/game/2016021050/feed/live,R,20162017,2017-03-17T23:00:00Z,Final,7,Final,7,FALSE,4,1,New Jersey Devils,/api/v1/teams/1,6,5,Pittsburgh Penguins,/api/v1/teams/5,PPG Paints Arena,/api/v1/venues/5034,5034,/api/v1/game/2016021050/content,REG
2016021051,/api/v1/game/2016021051/feed/live,R,20162017,2017-03-18T01:00:00Z,Final,7,Final,7,FALSE,1,25,Dallas Stars,/api/v1/teams/25,3,20,Calgary Flames,/api/v1/teams/20,Scotiabank Saddledome,/api/v1/venues/5075,5075,/api/v1/game/2016021051/content,REG
2016021052,/api/v1/game/2016021052/feed/live,R,20162017,2017-03-18T02:00:00Z,Final,7,Final,7,FALSE,2,7,Buffalo Sabres,/api/v1/teams/7,1,24,Anaheim Ducks,/api/v1/teams/24,Honda Center,/api/v1/venues/5046,5046,/api/v1/game/2016021052/content,REG
2016021053,/api/v1/game/2016021053/feed/live,R,20162017,2017-03-18T17:00:00Z,Final,7,Final,7,FALSE,1,21,Colorado Avalanche,/api/v1/teams/21,5,17,Detroit Red Wings,/api/v1/teams/17,Joe Louis Arena,/api/v1/venues/5047,5047,/api/v1/game/2016021053/content,REG
2016021054,/api/v1/game/2016021054/feed/live,R,20162017,2017-03-18T17:00:00Z,Final,7,Final,7,FALSE,3,29,Columbus Blue Jackets,/api/v1/teams/29,2,2,New York Islanders,/api/v1/teams/2,Barclays Center,/api/v1/venues/5026,5026,/api/v1/game/2016021054/content,REG
2016021059,/api/v1/game/2016021059/feed/live,R,20162017,2017-03-18T23:00:00Z,Final,7,Final,7,FALSE,3,3,New York Rangers,/api/v1/teams/3,2,30,Minnesota Wild,/api/v1/teams/30,Xcel Energy Center,/api/v1/venues/5098,5098,/api/v1/game/2016021059/content,REG
2016021055,/api/v1/game/2016021055/feed/live,R,20162017,2017-03-18T23:00:00Z,Final,7,Final,7,FALSE,2,16,Chicago Blackhawks,/api/v1/teams/16,1,10,Toronto Maple Leafs,/api/v1/teams/10,Air Canada Centre,/api/v1/venues/5015,5015,/api/v1/game/2016021055/content,REG
2016021056,/api/v1/game/2016021056/feed/live,R,20162017,2017-03-18T23:00:00Z,Final,7,Final,7,FALSE,4,8,Montréal Canadiens,/api/v1/teams/8,3,9,Ottawa Senators,/api/v1/teams/9,Canadian Tire Centre,/api/v1/venues/5031,5031,/api/v1/game/2016021056/content,REG
2016021057,/api/v1/game/2016021057/feed/live,R,20162017,2017-03-18T23:00:00Z,Final,7,Final,7,FALSE,5,15,Washington Capitals,/api/v1/teams/15,3,14,Tampa Bay Lightning,/api/v1/teams/14,Amalie Arena,/api/v1/venues/5017,5017,/api/v1/game/2016021057/content,REG
2016021058,/api/v1/game/2016021058/feed/live,R,20162017,2017-03-18T23:00:00Z,Final,7,Final,7,FALSE,2,18,Nashville Predators,/api/v1/teams/18,4,12,Carolina Hurricanes,/api/v1/teams/12,PNC Arena,/api/v1/venues/5066,5066,/api/v1/game/2016021058/content,REG
2016021060,/api/v1/game/2016021060/feed/live,R,20162017,2017-03-19T01:00:00Z,Final,7,Final,7,FALSE,3,19,St. Louis Blues,/api/v1/teams/19,0,53,Arizona Coyotes,/api/v1/teams/53,Gila River Arena,/api/v1/venues/5043,5043,/api/v1/game/2016021060/content,REG
2016021061,/api/v1/game/2016021061/feed/live,R,20162017,2017-03-19T02:00:00Z,Final,7,Final,7,FALSE,0,23,Vancouver Canucks,/api/v1/teams/23,2,22,Edmonton Oilers,/api/v1/teams/22,Rogers Place,/api/v1/venues/5100,5100,/api/v1/game/2016021061/content,REG
2016021062,/api/v1/game/2016021062/feed/live,R,20162017,2017-03-19T02:30:00Z,Final,7,Final,7,FALSE,2,24,Anaheim Ducks,/api/v1/teams/24,1,28,San Jose Sharks,/api/v1/teams/28,SAP Center at San Jose,/api/v1/venues/null,,/api/v1/game/2016021062/content,REG
