game_id,link,game_type_abbreviation,season_full,game_date,status_abstract_game_state,status_coded_game_state,status_detailed_state,status_status_code,status_start_time_tbd,away_score,away_team_id,away_team_name,away_team_link,home_score,home_team_id,home_team_name,home_team_link,venue_id,venue_name,venue_link,content_link,game_type
2017020837,/api/v1/game/2017020837/feed/live,R,20172018,2018-02-10T00:00:00Z,Final,7,Final,7,FALSE,2,29,Columbus Blue Jackets,/api/v1/teams/29,4,15,Washington Capitals,/api/v1/teams/15,5094,Capital One Arena,/api/v1/venues/5094,/api/v1/game/2017020837/content,REG
2017020838,/api/v1/game/2017020838/feed/live,R,20172018,2018-02-10T00:30:00Z,Final,7,Final,7,FALSE,3,26,Los Angeles Kings,/api/v1/teams/26,1,13,Florida Panthers,/api/v1/teams/13,,BB&T Center,/api/v1/venues/null,/api/v1/game/2017020838/content,REG
2017020839,/api/v1/game/2017020839/feed/live,R,20172018,2018-02-10T00:30:00Z,Final,7,Final,7,FALSE,1,23,Vancouver Canucks,/api/v1/teams/23,4,12,Carolina Hurricanes,/api/v1/teams/12,5066,PNC Arena,/api/v1/venues/5066,/api/v1/game/2017020839/content,REG
2017020840,/api/v1/game/2017020840/feed/live,R,20172018,2018-02-10T01:00:00Z,Final,7,Final,7,FALSE,5,19,St. Louis Blues,/api/v1/teams/19,2,52,Winnipeg Jets,/api/v1/teams/52,,Bell MTS Place,/api/v1/venues/null,/api/v1/game/2017020840/content,REG
2017020841,/api/v1/game/2017020841/feed/live,R,20172018,2018-02-10T01:30:00Z,Final,7,Final,7,FALSE,3,5,Pittsburgh Penguins,/api/v1/teams/5,4,25,Dallas Stars,/api/v1/teams/25,5019,American Airlines Center,/api/v1/venues/5019,/api/v1/game/2017020841/content,REG
2017020842,/api/v1/game/2017020842/feed/live,R,20172018,2018-02-10T03:00:00Z,Final,7,Final,7,FALSE,2,22,Edmonton Oilers,/api/v1/teams/22,3,24,Anaheim Ducks,/api/v1/teams/24,5046,Honda Center,/api/v1/venues/5046,/api/v1/game/2017020842/content,REG
2017020843,/api/v1/game/2017020843/feed/live,R,20172018,2018-02-11T00:00:00Z,Final,7,Final,7,FALSE,4,7,Buffalo Sabres,/api/v1/teams/7,2,6,Boston Bruins,/api/v1/teams/6,5085,TD Garden,/api/v1/venues/5085,/api/v1/game/2017020843/content,REG
2017020844,/api/v1/game/2017020844/feed/live,R,20172018,2018-02-11T00:00:00Z,Final,7,Final,7,FALSE,3,9,Ottawa Senators,/api/v1/teams/9,6,10,Toronto Maple Leafs,/api/v1/teams/10,5015,Air Canada Centre,/api/v1/venues/5015,/api/v1/game/2017020844/content,REG
2017020845,/api/v1/game/2017020845/feed/live,R,20172018,2018-02-11T00:00:00Z,Final,7,Final,7,FALSE,3,18,Nashville Predators,/api/v1/teams/18,2,8,Montréal Canadiens,/api/v1/teams/8,,Centre Bell,/api/v1/venues/null,/api/v1/game/2017020845/content,REG
2017020846,/api/v1/game/2017020846/feed/live,R,20172018,2018-02-11T00:00:00Z,Final,7,Final,7,FALSE,3,26,Los Angeles Kings,/api/v1/teams/26,4,14,Tampa Bay Lightning,/api/v1/teams/14,5017,Amalie Arena,/api/v1/venues/5017,/api/v1/game/2017020846/content,REG
2017020848,/api/v1/game/2017020848/feed/live,R,20172018,2018-02-11T00:00:00Z,Final,7,Final,7,FALSE,1,1,New Jersey Devils,/api/v1/teams/1,6,29,Columbus Blue Jackets,/api/v1/teams/29,5059,Nationwide Arena,/api/v1/venues/5059,/api/v1/game/2017020848/content,REG
2017020850,/api/v1/game/2017020850/feed/live,R,20172018,2018-02-11T01:00:00Z,Final,7,Final,7,FALSE,4,4,Philadelphia Flyers,/api/v1/teams/4,3,53,Arizona Coyotes,/api/v1/teams/53,5043,Gila River Arena,/api/v1/venues/5043,/api/v1/game/2017020850/content,REG
2017020849,/api/v1/game/2017020849/feed/live,R,20172018,2018-02-11T01:00:00Z,Final,7,Final,7,FALSE,0,16,Chicago Blackhawks,/api/v1/teams/16,3,30,Minnesota Wild,/api/v1/teams/30,5098,Xcel Energy Center,/api/v1/venues/5098,/api/v1/game/2017020849/content,REG
2017020847,/api/v1/game/2017020847/feed/live,R,20172018,2018-02-11T01:00:00Z,Final,7,Final,7,FALSE,1,21,Colorado Avalanche,/api/v1/teams/21,3,12,Carolina Hurricanes,/api/v1/teams/12,5066,PNC Arena,/api/v1/venues/5066,/api/v1/game/2017020847/content,REG
2017020851,/api/v1/game/2017020851/feed/live,R,20172018,2018-02-11T03:00:00Z,Final,7,Final,7,FALSE,4,22,Edmonton Oilers,/api/v1/teams/22,6,28,San Jose Sharks,/api/v1/teams/28,,SAP Center at San Jose,/api/v1/venues/null,/api/v1/game/2017020851/content,REG
2017020853,/api/v1/game/2017020853/feed/live,R,20172018,2018-02-11T17:00:00Z,Final,7,Final,7,FALSE,4,5,Pittsburgh Penguins,/api/v1/teams/5,1,19,St. Louis Blues,/api/v1/teams/19,,Scottrade Center,/api/v1/venues/null,/api/v1/game/2017020853/content,REG
2017020854,/api/v1/game/2017020854/feed/live,R,20172018,2018-02-11T20:00:00Z,Final,7,Final,7,FALSE,3,3,New York Rangers,/api/v1/teams/3,1,52,Winnipeg Jets,/api/v1/teams/52,,Bell MTS Place,/api/v1/venues/null,/api/v1/game/2017020854/content,REG
2017020852,/api/v1/game/2017020852/feed/live,R,20172018,2018-02-11T20:00:00Z,Final,7,Final,7,FALSE,5,17,Detroit Red Wings,/api/v1/teams/17,4,15,Washington Capitals,/api/v1/teams/15,5094,Capital One Arena,/api/v1/venues/5094,/api/v1/game/2017020852/content,REG
2017020855,/api/v1/game/2017020855/feed/live,R,20172018,2018-02-11T21:00:00Z,Final,7,Final,7,FALSE,6,23,Vancouver Canucks,/api/v1/teams/23,0,25,Dallas Stars,/api/v1/teams/25,5019,American Airlines Center,/api/v1/venues/5019,/api/v1/game/2017020855/content,REG
2017020856,/api/v1/game/2017020856/feed/live,R,20172018,2018-02-12T00:00:00Z,Final,7,Final,7,FALSE,5,21,Colorado Avalanche,/api/v1/teams/21,4,7,Buffalo Sabres,/api/v1/teams/7,5039,KeyBank Center,/api/v1/venues/5039,/api/v1/game/2017020856/content,REG
2017020857,/api/v1/game/2017020857/feed/live,R,20172018,2018-02-12T00:00:00Z,Final,7,Final,7,FALSE,5,6,Boston Bruins,/api/v1/teams/6,3,1,New Jersey Devils,/api/v1/teams/1,,Prudential Center,/api/v1/venues/null,/api/v1/game/2017020857/content,REG
2017020858,/api/v1/game/2017020858/feed/live,R,20172018,2018-02-12T00:00:00Z,Final,7,Final,7,FALSE,3,20,Calgary Flames,/api/v1/teams/20,2,2,New York Islanders,/api/v1/teams/2,5026,Barclays Center,/api/v1/venues/5026,/api/v1/game/2017020858/content,REG
2017020859,/api/v1/game/2017020859/feed/live,R,20172018,2018-02-12T01:00:00Z,Final,7,Final,7,FALSE,4,4,Philadelphia Flyers,/api/v1/teams/4,1,54,Vegas Golden Knights,/api/v1/teams/54,5178,T-Mobile Arena,/api/v1/venues/5178,/api/v1/game/2017020859/content,REG
2017020860,/api/v1/game/2017020860/feed/live,R,20172018,2018-02-12T01:00:00Z,Final,7,Final,7,FALSE,3,28,San Jose Sharks,/api/v1/teams/28,2,24,Anaheim Ducks,/api/v1/teams/24,5046,Honda Center,/api/v1/venues/5046,/api/v1/game/2017020860/content,REG
